,SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308
0,[H][C]1[C]([H])[C]([H])[C]2[C]([C]1[H])[C]([H])[C]([H])[C]1[C]([H])[C]([H])[C]3[C]4[C]([H])[C]([H])[C]5[C]6[C]([H])[C]([H])[C]([H])[C]([H])[C]6[C]6[C]([H])[C]([H])[C]([H])[C]([H])[C]6[C]5[C]4[C]([H])[C]([H])[C]3[C]12,0,0.0984,0,0.1814,0.1317,0.2626,0.2334,0.9175,0,0.6348,1.0008,0,0.1842,1.3239,2.87,0.5765,0.3298,1.0013,0,0.7594,0,8.6423,2.7419,0,7.4734,1.2836,0.3989,4.831,0.507,2.8627,8.3289,2.0774,13.234,5.4681,3.3456,0.9229,3.1265,9.2082,5.3995,1.9517,0,34.4689,7.194,149.1458,11.3495,24.1038,9.1302,12.6287,60.0872,12.0353,13.2232,1.4504,0,0.987,0.3013,4.3403,1.1582,4.8165,0.8134,1.9497,8.1935,2.0226,0.0124,0.4345,0,0.7565,3.3885,1.0776,4.7805,0.6008,1.7867,7.4641,13.0399,1.7452,2.2294,2.1033,2.7338,3.8198,2.4955,4.0087,0,3.4786,28.4888,24.8648,7.0233,21.4336,5.7365,2.7663,4.0547,0.0407,1.4369,4.1849,4.0782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5662,125.7499,72.0297,120.4112,6.731,8.4895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,[H][C]1[C]([H])[C]([H])[C]2[C]([H])[C]3[C]([C]([H])[C]([H])[C]4[C]3[C]([H])[C]([H])[C]3[C]4[C]([H])[C]([H])[C]4[C]5[C]([H])[C]([H])[C]([H])[C]([H])[C]5[C]5[C]([H])[C]([H])[C]([H])[C]([H])[C]5[C]34)[C]([H])[C]2[C]1[H],0,0.0949,0,0.1768,0.087,0.1722,0.6751,0.8927,0,0.1317,0.186,1.1843,0.457,0,0.1693,1.6385,0.8843,0.8582,0,1.5619,4.5887,0,1.7533,0.6544,1.2313,3.234,10.6965,1.6485,8.3324,3.3469,1.225,2.6408,0.7704,15.1657,2.6089,4.5061,6.9646,0,10.0439,0,5.0873,29.53,62.4794,95.5109,8.9117,5.8913,16.7553,24.5482,6.5037,0.8903,60.2329,6.6956,0,2.4273,4.0842,4.4348,1.7161,3.365,0,2.5208,3.7306,2.4367,0,0.3049,0,0.8234,4.2572,2.2773,0.9113,3.0193,4.3837,2.7747,16.7903,0.4563,7.1842,0.7759,0.6848,11.6253,0.6224,2.1767,0,3.6341,37.0935,8.7439,12.689,20.3338,0.566,0,10.9562,0.2128,2.1801,2.628,2.5132,3.2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3073,112.7751,89.9645,127.9869,7.2353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[H][C]1[C]([H])[C]([H])[C]2[C]([C]1[H])[C]([H])[C]([H])[C]1[C]2[C]([H])[C]([H])[C]2[C]1[C]([H])[C]([H])[C]1[C]2[C]([H])[C]([H])[C]2[C]3[C]([H])[C]([H])[C]([H])[C]([H])[C]3[C]3[C]([H])[C]([H])[C]([H])[C]([H])[C]3[C]12,0,0.0786,0,0.2176,0,0.2998,0,1.1977,0,0.167,0.2311,0.0929,0.866,0,2.5671,2.9395,0.3894,0,0.5331,0.4128,2.7245,0,4.4004,2.1402,1.0139,3.3474,0.5488,1.8024,13.0824,0.1182,14.5421,0,10.5682,8.2321,2.9673,1.8074,4.9175,0,12.4785,1.0888,1.5721,15.2861,13.6408,153.5053,18.8259,12.8187,52.2981,26.3093,17.9458,14.7725,3.0766,0.708,0.4103,0.2203,5.452,1.0054,2.4902,1.6087,0.2456,5.1869,4.9716,1.7854,0,0.3191,0,1.9012,0.8986,0.5425,4.973,0.0971,1.2951,3.4672,2.4187,19.9917,4.6958,1.2514,0.923,2.8186,3.698,2.8088,0,1.4474,34.6056,18.9902,24.8165,12.2766,2.1777,3.8449,4.1156,0.1051,2.7655,3.2362,3.6619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9395,122.5283,23.84,166.3315,16.6503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,[H][C]1[C]([H])[C]([H])[C]2[C]([C]1[H])[C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[C]1[C]2[C]([H])[C]([H])[C]2[C]1[C]([H])[C]([H])[C]1[C]3[C]([H])[C]([H])[C]([H])[C]([H])[C]3[C]3[C]([H])[C]([H])[C]([H])[C]([H])[C]3[C]12,0,0.0892,0,0.2408,0,0.8543,1.181,0,0,0,0,1.3926,2.2669,0,0,0.2792,0.5932,0,1.117,0,0,3.8136,3.5314,0,7.4801,1.938,3.6912,0.2547,0,1.2602,0,0,1.0026,11.0097,0,10.0922,8.2244,2.166,21.2819,9.3691,0,52.3601,0,206.6874,11.296,0,4.7081,24.1892,0,3.3804,4.3262,4.4981,0,0,8.283,0,4.2842,2.2648,0.2086,2.3896,7.1535,7.1715,0,0.6757,0,0,0.8325,0,1.5434,2.2094,1.3223,5.5404,6.481,0,3.5353,0.3602,1.6537,3.8198,0,10.6004,0,0,65.3607,22.0751,4.6549,24.2912,9.2993,0,7.9909,0.3708,1.3608,2.5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0782,136.5315,8.2211,189.8341,23.3632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,[H][C]1[C]([H])[C]([H])[C]2[C]([C]1[H])[C]([H])[C]([H])[C]1[C]([H])[C]3[C]([H])[C]([H])[C]4[C]([C]([H])[C]([H])[C]5[C]6[C]([H])[C]([H])[C]([H])[C]([H])[C]6[C]6[C]([H])[C]([H])[C]([H])[C]([H])[C]6[C]45)[C]3[C]([H])[C]12,0,0.0941,0,0.1714,0.1503,0.082,0.522,1.3717,0.6215,0,0,0.1969,0.9604,0,1.1293,0.1528,1.9981,0,1.2334,0,2.8891,0,2.8365,2.2504,7.6037,2.0659,1.8124,0.1136,3.6044,0.7228,4.7472,5.0985,4.8791,0,14.1952,0.1878,3.8872,0.4965,8.9547,1.7463,15.68,15.5773,62.0221,78.0691,19.5077,5.0194,46.5034,0.4172,6.2132,0.8604,34.4642,33.0681,0,0.7133,7.8187,0.6711,2.9724,2.0733,0.0748,1.703,8.1645,1.5085,0,0.3039,0.4427,0,1.3077,1.6491,6.2228,0.0571,6.525,10.3,1.8913,1.9281,7.4636,2.4456,2.0328,2.098,5.7854,2.3838,0.5279,2.0209,18.2574,34.03,24.5374,30.2064,3.615,0,4.9849,0.227,0.5227,1.2365,4.7738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4564,171.8779,44.7814,100.2248,23.2297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,[H][C]1[C]([H])[C]([H])[C]2[C]([C]1[H])[C]([H])[C]([H])[C]1[C]([H])[C]3[C]([C]([H])[C]([H])[C]4[C]3[C]([H])[C]([H])[C]3[C]5[C]([H])[C]([H])[C]([H])[C]([H])[C]5[C]5[C]([H])[C]([H])[C]([H])[C]([H])[C]5[C]43)[C]([H])[C]12,0,0.0937,0,0.163,0.1395,0.1408,0.1332,1.15,0.1996,0.0349,0,2.4073,0.9849,0,1.0816,0.5136,0.409,0,0.1573,0.2479,0,3.8324,0.7294,3.8248,13.5011,0.5793,0.8616,0.6047,0.7153,1.2464,1.3973,4.6716,5.1845,6.8576,3.7013,0.7762,5.3346,8.8095,8.8906,4.7088,7.3205,16.8221,10.1755,137.9174,13.8734,3.0609,46.4457,4.0541,14.1458,0.5644,62.4891,2.315,0,1.1227,7.7327,0,2.7175,1.7662,0.435,5.0315,5.2566,1.7499,0,0.599,0.3696,0,1.2669,1.2973,6.977,0.8151,8.467,6.9787,6.1759,0.9868,3.8822,0.7705,4.8122,1.0832,5.7787,1.5896,0.8279,2.3951,20.7689,34.696,14.7489,18.7214,20.1657,0,4.8468,0.1415,0.6353,2.2866,3.4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4897,178.9322,49.8664,120.5512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,[H][C]1[C]([H])[C]([H])[C]2[C]([H])[C]3[C]([H])[C]4[C]([C]([H])[C]([H])[C]5[C]4[C]([H])[C]([H])[C]4[C]6[C]([H])[C]([H])[C]([H])[C]([H])[C]6[C]6[C]([H])[C]([H])[C]([H])[C]([H])[C]6[C]54)[C]([H])[C]3[C]([H])[C]2[C]1[H],0,0.0994,0,0.3959,0,0.1093,0.63,1.1686,0.0312,0,0.3259,0.1065,1.1799,0,0.7889,0.6628,0.8366,0.7289,0.9098,0.1625,2.4442,0.2858,5.5016,0,1.5982,2.511,13.1989,2.6799,0.9849,0,2.5905,0.1982,0.6749,14.8564,5.0522,0.4816,7.4338,0,8.0656,7.2974,0,16.5213,82.0081,69.823,19.3098,3.9675,1.79,28.8276,7.9004,2.1813,2.2902,0.8547,80.6525,1.5944,3.717,5.1388,4.2726,2.8654,0.1029,0,7.2127,1.3897,0,0.2879,2.5945,1.6176,2.2942,3.4995,1.2992,0.7592,3.8819,2.2245,9.622,7.698,5.1389,1.5867,3.97,2.7176,5.9106,3.2769,0.5282,0,45.8576,7.8407,6.4713,25.6303,0,3.5018,3.2777,0.2579,1.2252,0.8517,0.795,6.1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1282,53.2858,120.7182,89.6686,120.7913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,[H][C]1[C]([H])[C]([H])[C]2[C]([C]1[H])[C]([H])[C]([H])[C]1[C]([H])[C]3[C]([H])[C]([H])[C]4[C]5[C]([H])[C]([H])[C]6[C]([H])[C]([H])[C]([H])[C]([H])[C]6[C]5[C]5[C]([H])[C]([H])[C]([H])[C]([H])[C]5[C]4[C]3[C]([H])[C]12,0,0.0883,0,0.2754,0.1082,0.5393,0.3508,0.5594,0,0.8066,0.8065,1.0296,0.3874,0,0.2297,1.2818,0,2.0539,0,0.9886,0,2.0134,3.7968,4.3429,0.487,7.5486,1.8762,1.4593,2.6479,0.664,4.0587,1.6419,4.6729,8.8389,15.1696,5.4751,14.3814,2.0798,8.5494,12.7578,1.1061,2.4345,41.2409,6.6012,4.6862,118.2625,2.9113,30.1684,7.2238,5.0817,8.8496,44.2753,7.0694,0,8.1041,2.5125,0.7832,2.8172,0,5.8624,3.8366,0,0.8432,1.7155,0.3313,0,6.0983,1.0117,3.7082,3.8704,12.0292,1.7175,1.3689,0.9862,3.7251,1.8223,1.5686,11.4081,5.7638,2.0966,14.9626,1.1761,10.1541,7.2558,6.1054,31.453,13.2649,0,6.1626,0.4093,0,8.2436,6.1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8471,81.3127,141.1821,81.5311,40.6658,35.3706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,[H][C]1[C]([H])[C]([H])[C]2[C]([H])[C]3[C]([H])[C]4[C]([C]([H])[C]([H])[C]5[C]6[C]([H])[C]([H])[C]7[C]([H])[C]([H])[C]([H])[C]([H])[C]7[C]6[C]6[C]([H])[C]([H])[C]([H])[C]([H])[C]6[C]45)[C]([H])[C]3[C]([H])[C]2[C]1[H],0,0.0714,0.0412,0.2819,0.1349,0.8254,0.0097,0.4629,0,0.9223,0.689,0.8028,0.6312,0,0.0197,1.1226,0.1924,1.03,0.0513,1.1003,0,1.9193,5.718,0.5442,3.9532,0,14.7026,3.7251,1.5185,2.7213,2.7176,1.1934,7.3661,7.1872,17.6091,0.2083,22.8933,0,7.291,0,2.6836,5.3752,51.1317,7.4308,2.1438,95.7479,4.1937,28.6987,11.9695,1.3683,8.5469,12.551,37.1809,21.4875,1.1595,9.1236,0.4185,4.4065,0,3.2419,4.8724,0.3504,0,2.0369,2.943,0,7.0543,2.6042,0.6728,1.997,5.9421,3.915,2.3277,8.0687,2.4866,1.1643,0.8143,16.6112,1.7747,5.5906,12.0707,3.5422,6.5341,2.5111,1.5044,16.7415,12.1253,1.9789,6.0295,0.2917,0.7849,7.3845,1.7288,7.4097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0254,75.0141,94.6911,144.4734,15.6754,55.4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,[H][C]1[C]([H])[C]([H])[C]2[C]([C]1[H])[C]([H])[C]([H])[C]1[C]([H])[C]3[C]([C]([H])[C]([H])[C]4[C]5[C]([H])[C]([H])[C]6[C]([H])[C]([H])[C]([H])[C]([H])[C]6[C]5[C]5[C]([H])[C]([H])[C]([H])[C]([H])[C]5[C]34)[C]([H])[C]12,0,0.1018,0.045,0,0.266,0.5882,0.0594,0.3185,0.2261,1.1973,0.733,1.8761,0,0,1.2459,1.0626,0,0.4395,0.0552,0,0.4702,0.8836,1.1406,5.9733,4.3701,4.888,7.269,0.2748,3.1095,1.6073,1.5551,1.6159,14.2344,0.5205,12.7755,0,23.2931,6.8622,6.5469,3.4164,0.7835,4.5685,55.2827,7.7342,2.7564,55.4473,62.2355,35.7392,14.0948,0,36.7907,1.3766,0,17.7363,6.6707,2.3202,0.4951,2.5817,0,6.6456,4.7216,0,1.2461,1.8869,0.0384,1.5085,5.0595,1.1294,3.7076,4.3353,11.0499,4.9992,0.8966,2.1596,0.537,2.3634,2.9983,9.1055,4.1145,1.4347,14.1122,2.0262,10.5167,10.2106,6.4532,3.7289,41.5619,0,4.6309,0.5157,0,8.19,5.8415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6299,151.1363,106.976,17.7197,52.2347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
